Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Year
2024-01-03,Fancy Like Christmas,Walker Hayes,20,20.0,20,3.0,https://charts-static.billboard.com/img/2023/11/walker-hayes-3sh-fancylikechristmas-fbs-180x180.jpg,2024
2022-10-12,Fantastic Voyage,Coolio,44,16.0,16,2.0,https://charts-static.billboard.com/img/2022/10/coolio-i15-fantasticvoyage-pya-180x180.jpg,2022
2023-09-06,Far Away,Nickelback,34,6.0,33,,,2023
2023-08-02,Far Behind,Candlebox,33,21.0,21,3.0,https://charts-static.billboard.com/img/2011/04/candlebox-pkv-farbehind-y53-180x180.jpg,2023
2021-05-19,Fast (Motion),Saweetie,26,26.0,1,,https://charts-static.billboard.com/img/2021/05/saweetie-hh8-fastmotion-rmk-180x180.jpg,2021
2024-03-20,Fast Car,Luke Combs,24,16.0,1,41.0,,2024
2024-02-28,Fast Car,Tracy Chapman,17,5.0,1,11.0,https://charts-static.billboard.com/img/2011/08/tracy-chapman-5yi-fastcar-rkm-180x180.jpg,2024
2011-05-18,Fast Lane,Bad Meets Evil,19,19.0,1,,,2011
2011-02-23,Fat Bottomed Girls,Glee Cast,33,33.0,1,,,2011
2023-08-30,Fat Bottomed Girls,Queen,48,48.0,1,,https://charts-static.billboard.com/img/2011/02/queen-ty8-fatbottomedgirls-flu-180x180.jpg,2023
2022-02-16,Fat Funny Friend,Maddie Zahm,46,46.0,1,,https://charts-static.billboard.com/img/2022/02/maddiezahm-ld1-fatfunnyfriend-zto-180x180.jpg,2022
2025-02-12,Fat Juicy & Wet,Sexyy Red & Bruno Mars,15,3.0,3,2.0,https://charts-static.billboard.com/img/2025/02/sexyyred-8hq-fatjuicywet-j39-180x180.jpg,2025
2023-06-14,Father And Son,Cat Stevens,38,38.0,1,,,2023
2017-01-11,Father Figure,George Michael,34,34.0,1,,,2017
2009-11-25,Favorite Girl,Justin Bieber,37,12.0,12,2.0,,2009
2023-07-05,Favorite Song,Toosii,31,21.0,4,15.0,https://charts-static.billboard.com/img/2023/03/toosii-h46-favoritesong-rl3-180x180.jpg,2023
2019-08-21,Fear Inoculum,Tool,19,8.0,8,2.0,,2019
2008-11-12,Fearless,Taylor Swift,42,15.0,3,3.0,https://charts-static.billboard.com/img/2008/11/taylor-swift-vug-fearless-enk-180x180.jpg,2008
2018-02-07,Feed The Wolf,Breaking Benjamin,39,39.0,1,,,2018
2008-04-16,Feedback,Janet,39,45.0,7,14.0,,2008
2013-01-16,Feel Again,OneRepublic,45,75.0,22,19.0,,2013
2023-05-10,Feel Good Inc,Gorillaz,47,3.0,55,,https://charts-static.billboard.com/img/2005/05/gorillaz-uyi-feelgoodinc-73o-180x180.jpg,2023
2018-05-02,Feel It Still,Portugal. The Man,49,45.0,4,43.0,https://charts-static.billboard.com/img/2017/04/portugal-the-man-0tx-feelitstill-5e5-180x180.jpg,2018
2012-05-09,Feel Like A Rock Star,Kenny Chesney & Tim McGraw,49,50.0,19,4.0,,2012
2024-05-29,Feel Like Hell Today,Cooper Alan,24,12.0,12,2.0,https://charts-static.billboard.com/img/2024/05/cooper-alan-jrt-feellikehelltoday-nhn-180x180.jpg,2024
2020-03-04,Feel Me,Selena Gomez,18,18.0,1,,,2020
2017-01-25,Feel Me,Tyga Featuring Kanye West,45,45.0,1,,,2017
2012-08-15,Feel So Close,Calvin Harris,30,36.0,11,24.0,,2012
2019-03-06,Feel Something,Adam Lambert,22,22.0,1,,,2019
2020-04-15,Feel Something,ILLENIUM| Excision & I Prevail,31,31.0,1,,,2020
2013-07-17,Feel This Moment,Pitbull Featuring Christina Aguilera,45,43.0,5,23.0,,2013
2022-11-09,Feeling Good,Nina Simone,43,43.0,1,,,2022
2015-06-03,Feeling Myself,Nicki Minaj Featuring Beyonce,42,21.0,2,,,2015
2023-08-30,Feeling Purdy Good,Oliver Anthony Music,20,21.0,20,2.0,https://charts-static.billboard.com/img/2023/08/oliveranthonymusic-zyi-feelingpurdygood-dma-180x180.jpg,2023
2019-10-02,Feelings,Lauv,26,26.0,1,,https://charts-static.billboard.com/img/2017/01/lauv-jt5-180x180.jpg,2019
2017-10-11,Feels,Calvin Harris Featuring Pharrell Williams| Katy Perry & Big Sean,45,34.0,11,15.0,,2017
2018-09-12,Feels Like Summer,Childish Gambino,31,31.0,2,,,2018
2008-04-30,Feels Like Tonight,Daughtry,37,43.0,37,11.0,,2008
2025-08-06,Feels So Good,Chuck Mangione,21,21.0,1,,https://charts-static.billboard.com/img/2011/04/chuck-mangione-000-feelssogood-vqb-180x180.jpg,2025
2023-12-27,Feliz Navidad,Jose Feliciano,22,19.0,34,,https://charts-static.billboard.com/img/2004/12/jose-feliciano-dak-feliznavidad-qdx-180x180.jpg,2023
2011-01-26,Felt Good On My Lips,Tim McGraw,50,48.0,19,11.0,,2011
2017-12-06,Female,Keith Urban,48,6.0,6,3.0,,2017
2018-06-06,Fendiman,Jackson Wang,37,37.0,1,,,2018
2007-04-25,Fergalicious,Fergie,43,37.0,1,30.0,,2007
2017-09-20,Fetish,Selena Gomez Featuring Gucci Mane,43,38.0,11,7.0,,2017
2020-11-11,Fever,Dua Lipa Featuring Angele,31,31.0,1,,https://charts-static.billboard.com/img/2020/11/dua-lipa-kuy-fever-dyx-180x180.jpg,2020
2014-04-09,Fever,The Black Keys,41,41.0,1,,,2014
2007-03-07,Fidelity,Regina Spektor,35,48.0,30,6.0,,2007
2015-05-13,Fields Of Gold,Joshua Davis,39,39.0,1,,,2015
2010-01-13,Fifteen,Taylor Swift,41,31.0,31,10.0,,2010
2011-10-12,Fight For You,Jason Derulo,50,50.0,1,,,2011
2016-02-10,Fight Song,Rachel Platten,47,44.0,3,39.0,,2016
2024-10-16,Fighter,Jon Kahn,13,1.0,3,,https://charts-static.billboard.com/img/2024/09/jonkahn-000-fighter-kfy-180x180.jpg,2024
2022-11-16,Fighter,Tom MacDonald,14,14.0,1,,https://charts-static.billboard.com/img/2022/11/tommacdonald-dci-fighter-z5e-180x180.jpg,2022
2023-04-19,Fighting Myself,Linkin Park,44,9.0,2,,,2023
2021-04-14,Film Out,BTS,1,1.0,1,,https://charts-static.billboard.com/img/2021/04/bts-hm9-filmout-uea-180x180.jpg,2021
2020-12-09,Filter,BTS,35,4.0,4,,,2020
2018-02-21,Filthy,Justin Timberlake,47,34.0,3,6.0,,2018
2014-06-25,Final Masquerade,Linkin Park,47,47.0,1,,,2014
2019-12-18,Finally // beautiful Stranger,Halsey,24,24.0,1,,,2019
2012-11-07,Finally Found You,Enrique Iglesias Featuring Sammy Adams,38,38.0,9,5.0,,2012
2017-10-04,Find You,Nick Jonas,19,19.0,1,,,2017
2010-09-01,Find Your Love,Drake,38,30.0,8,16.0,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2010
2013-04-17,Fine China,Chris Brown,35,35.0,1,,,2013
2018-05-09,Finesse,Bruno Mars & Cardi B,50,44.0,2,18.0,,2018
2022-02-16,Fingers Crossed,Lauren Spencer Smith,49,37.0,13,6.0,https://charts-static.billboard.com/img/2022/01/laurenspencersmith-x4p-fingerscrossed-y2s-180x180.jpg,2022
2023-09-13,Fins,Jimmy Buffett,26,26.0,1,,https://charts-static.billboard.com/img/2023/09/jimmy-buffett-w3m-fins-9vm-180x180.jpg,2023
2010-05-12,Fire,Glee Cast Featuring Kristin Chenoweth,32,32.0,1,,,2010
2016-04-20,Fire Away,Chris Stapleton,45,45.0,1,,,2016
2009-10-14,Fire Burning,Sean Kingston,39,28.0,3,22.0,,2009
2015-08-12,Fire N Gold,Bea Miller,31,31.0,1,,,2015
2025-07-02,Fire Starter,Sons Of Legion,15,15.0,1,,https://charts-static.billboard.com/img/2025/06/sonsoflegion-000-firestarter-1zj-180x180.jpg,2025
2015-01-14,Fireball,Pitbull Featuring John Ryan,48,8.0,17,,,2015
2021-09-08,Fireflies,Owl City,50,1.0,38,,https://charts-static.billboard.com/img/2009/09/owl-city-846-fireflies-gzs-180x180.jpg,2021
2006-02-15,Fireman,Lil Wayne,43,44.0,38,10.0,,2006
2011-02-23,Firework,Glee Cast,13,13.0,1,,,2011
2022-03-30,Firework,Katy Perry,49,1.0,51,,https://charts-static.billboard.com/img/2010/09/katy-perry-46r-firework-aq3-180x180.jpg,2022
2010-06-30,Fireworks,Drake Featuring Alicia Keys,47,47.0,1,,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2010
2018-05-09,First Burn,Arianna Afsar/Julia Harriman/Lexi Lawson/Rachelle Ann Go/Shoba Narayan,22,22.0,1,,,2018
2022-08-24,First Class,Jack Harlow,49,1.0,18,,https://charts-static.billboard.com/img/2018/01/jackharlow-i43-180x180.jpg,2022
2023-09-06,First Day Out,Trump The Don,45,45.0,1,,https://charts-static.billboard.com/img/2023/09/trumpthedon-000-firstdayout-pw5-180x180.jpg,2023
2015-03-11,First Kiss,Kid Rock,25,25.0,1,,,2015
2020-02-05,First Man,Camila Cabello,6,6.0,1,,,2020
2023-10-18,First Person Shooter,Drake Featuring J. Cole,7,7.0,1,,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2023
2017-05-17,First Time,Kygo & Ellie Goulding,21,21.0,1,,,2017
2007-11-21,First Time,Lifehouse,48,39.0,23,23.0,,2007
2021-07-21,Fishin' In The Dark,Nitty Gritty Dirt Band,15,13.0,13,2.0,https://charts-static.billboard.com/img/2011/09/nitty-gritty-dirt-band-gxw-fishininthedark-5fe-180x180.jpg,2021
2020-05-27,Five More Minutes,Jonas Brothers,14,14.0,1,,,2020
2018-03-28,Five More Minutes,Scotty McCreery,40,37.0,29,9.0,,2018
2011-10-05,Fix A Heart,Demi Lovato,35,35.0,1,,,2011
2024-09-04,Fix What You Didn't Break,Nate Smith,23,23.0,1,,https://charts-static.billboard.com/img/2024/09/natesmith-tuf-fixwhatyoudidntbreak-vjn-180x180.jpg,2024
2011-10-19,Fix You,Coldplay,43,29.0,12,,,2011
2011-10-19,Fix You,Glee Cast,21,21.0,1,,,2011
2011-07-06,Fix You,Javier Colon,26,26.0,1,,,2011
2019-05-29,Flame,Laine Hardy,8,8.0,1,,,2019
2018-04-04,Flames,David Guetta & Sia,47,47.0,1,,https://charts-static.billboard.com/img/2006/01/sia-1tt-180x180.jpg,2018
2019-11-27,Flames,R3HAB x ZAYN x Jungleboi,33,33.0,1,,,2019
2022-12-07,Flashdance...What A Feeling,Irene Cara,12,12.0,1,,,2022
2008-02-27,Flashing Lights,Kanye West Featuring Dwele,50,69.0,50,8.0,,2008
2015-06-17,Flashlight,Jessie J,43,30.0,30,4.0,,2015
2015-09-23,Flex (Ooh Ooh Ooh),Rich Homie Quan,49,50.0,40,16.0,https://charts-static.billboard.com/img/2015/05/rich-homie-quan-ieg-flexoohoohooh-xby-180x180.jpg,2015
2016-06-29,Flexicution,Logic,43,43.0,1,,,2016
2005-02-09,Float On,Modest Mouse,46,38.0,31,11.0,,2005
2023-04-12,Flower,Jisoo,10,10.0,1,,https://charts-static.billboard.com/img/2023/04/jisoo-pmg-flower-qsm-180x180.jpg,2023
2022-05-04,Flower Shops,ERNEST Featuring Morgan Wallen,45,32.0,7,7.0,https://charts-static.billboard.com/img/2022/01/ernest-q1v-flowershops-d3c-180x180.jpg,2022
2022-05-04,Flowers,Lauren Spencer Smith,42,14.0,14,3.0,https://charts-static.billboard.com/img/2022/04/laurenspencersmith-x4p-flowers-dt1-180x180.jpg,2022
2022-06-01,Flowers,Leah Marlene,25,25.0,1,,https://charts-static.billboard.com/img/2022/06/leahmarlene-000-flowers-au3-180x180.jpg,2022
2024-04-10,Flowers,Miley Cyrus,22,18.0,1,50.0,https://charts-static.billboard.com/img/2023/01/miley-cyrus-jca-flowers-l87-180x180.jpg,2024
2004-11-03,Fly,Hilary Duff,43,40.0,40,2.0,,2004
2012-01-11,Fly,Nicki Minaj Featuring Rihanna,41,40.0,21,19.0,,2012
2012-03-07,Fly / I Believe I Can Fly,Glee Cast,33,33.0,1,,,2012
2015-09-02,Fly Away,5 Seconds Of Summer,35,35.0,1,,,2015
2012-06-13,Fly Over States,Jason Aldean,45,46.0,35,14.0,,2012
2016-02-24,Fly S**t Only,Future,21,21.0,1,,,2016
2020-12-02,Fly To My Room,BTS,6,6.0,1,,,2020
2009-07-01,Fly With Me,Jonas Brothers,48,48.0,1,,,2009
2025-07-30,Flying High Again,Ozzy Osbourne,24,24.0,1,,https://charts-static.billboard.com/img/2025/08/ozzy-osbourne-i3p-flyinghighagain-7xd-180x180.jpg,2025
2016-01-13,Focus,Ariana Grande,38,48.0,5,8.0,https://charts-static.billboard.com/img/2015/11/ariana-grande-i9s-focus-2pg-180x180.jpg,2016
2019-11-06,Follow God,Kanye West,13,13.0,1,,,2019
2021-05-26,Follow You,Imagine Dragons,35,25.0,19,7.0,https://charts-static.billboard.com/img/2021/03/imagine-dragons-rfq-followyou-dpd-180x180.jpg,2021
2014-02-12,Follow Your Arrow,Kacey Musgraves,29,29.0,2,,,2014
2005-12-14,Folsom Prison Blues,Johnny Cash,46,36.0,36,2.0,https://charts-static.billboard.com/img/2005/12/johnny-cash-av0-folsomprisonblues-2mc-180x180.jpg,2005
